"observation.id","group_sex","first.five.activity","group_size"
831,"All Female","Forage",1
832,"All Male","Rest",1
833,"All Male","Forage",1
834,"All Female","Forage",1
835,"All Male","Social",2
836,"All Female","Travel",1
837,"All Male","Rest",1
838,"All Female","Forage",1
839,"All Female","Forage",1
840,"All Male","Rest",1
841,"All Female","Forage",1
842,"All Female","Forage",1
843,"All Female","Forage",2
844,"All Female","Travel",1
845,"All Male","Rest",2
846,"All Male","Rest",1
847,"All Female","Forage",1
848,"All Male","Forage",2
849,"All Female","Forage",1
850,"All Male","Forage",2
851,"All Male","Forage",1
852,"All Male","Forage",1
853,"All Female","Forage",1
854,"All Male","Forage",1
855,"All Male","Forage",1
856,"All Male","Social",4
857,"All Female","Travel",1
858,"All Female","Forage",1
859,"All Male","Forage",1
860,"All Male","Forage",1
861,"All Female","Forage",1
862,"All Male","Social",6
863,"All Male","Rest",3
864,"All Male","Social",4
865,"All Female","Forage",1
866,"All Female","Travel",4
867,"All Female","Forage",1
868,"All Male","Forage",2
869,"All Male","Forage",1
870,"Mixed","Forage",1
871,"All Male","Travel",1
872,"All Male","Other",1
873,"Mixed","Forage",2
874,"All Female","Other",2
875,"All Female","Forage",1
876,"All Male","Forage",1
877,"All Male","Forage",2
878,"All Male","Travel",1
879,"All Male","Forage",1
880,"All Female","Forage",1
881,"All Male","Rest",4
882,"Mixed","Forage",1
883,"All Male","Forage",1
884,"All Female","Forage",1
885,"All Female","Forage",1
886,"Mixed","Forage",2
887,"All Female","Rest",2
888,"All Female","Forage",1
889,"All Female","Forage",1
890,"All Female","Forage",2
891,"All Female","Forage",1
892,"All Male","Other",1
893,"Mixed","Rest",3
894,"All Female","Forage",1
895,"All Male","Forage",1
896,"All Female","Forage",1
897,"All Female","Forage",1
898,"Mixed","Travel",2
899,"All Female","Travel",3
900,"All Male","Forage",2
901,"All Male","Forage",2
902,"All Female","Forage",1
903,"All Male","Travel",1
904,"All Male","Travel",1
905,"All Male","Forage",1
906,"All Male","Social",3
907,"All Female","Forage",1
908,"All Female","Forage",1
909,"All Female","Forage",1
910,"All Male","Forage",2
911,"All Male","Forage",1
